MOT_LISTE	VED	LEM	TL_ORDRE	BALISE	AVANT	APRES
renvïer	RENVAHIR	renvahir	1	LEMME	renvïer	renvir
renvïer	RENVIER	renvier1	1	LEMME	renvïer	renver
repos	REPOUS	repous	1	LEMME	repos	repous1
resoler	RESAOULER	resaouler	1	LEMME	resoler1	resoler
resteler	RESCELLER	resceller	1	LEMME	resteler	reseler
resoler	RESOLER	resoler	1	LEMME	resoler1	resoler
restorier	RESTORIER	restaurier1	1	LEMME	restorier1	restorier
röable	RIABLE	riable	1	LEMME	röable	rable
ribaudel	RIBAUDEAU	ribaudeau	1	LEMME	ribaudel	ribaudel1
ribaudel	RIBAUDEL	ribaudel	1	LEMME	ribaudel	ribaudel2
rimor	RIMEUR	rimeur1	1	LEMME	rimor	rimor2
rimor	RIMEUR	rimeur2	1	LEMME	rimor	rimor1
roncëiz	RONCEIS	ronceis	1	LEMME	roncëiz	ronciz
roncëiz	RONCEIS	roncis	1	LEMME	roncëiz	ronciz
rondet	RONDE	ronde	1	SLEMME	rondet	ronde
rüelete	ROULETTE	roulette	1	LEMME	rüelete	relete
rüelete	RUELLETTE	ruellette	1	LEMME	rüelete	relete
sapïent	SAPIENT	sapient	1	LEMME	sapïent	sapent
sapïent	SAPIENTEMENT	sapientement	1	LEMME	sapïent	sapent
söement	SEEMENT	sement	1	LEMME	söement	sement
semoir	SEMEUR	semeur1	1	LEMME	semoir	semor
senevé	SENEVEL	senevel	1	LEMME	senevé	senev
sobreté	SOBRIET	sobrit	1	LEMME	sobreté	sobret
socïal	SOCIAL	social	1	LEMME	socïal	socall
resolutoire	SOLUTOIRE	solutoire	1	LEMME	resolutoire	solutoire
söatume	SOUATUME	souatume	1	LEMME	söatume	satume
söement	SOUDEMENT	soudement	1	SLEMME	söement	sodement
söatume	SOUEFTUME	soueftume	1	LEMME	söatume	satume
espacïos	SPACIEUX	spacieux	1	LEMME	espacïos	espacos
esperitalité	SPIRITUALIT	spiritualit	1	LEMME	esperitalité	esperitalit
espröon	SPROHON	sprohon	1	LEMME	espröon	espron
soranné	SURANN	surann	1	LEMME	soranné	sorann
soranné	SURANNER	suranner	1	LEMME	soranné	sorann
tabellïon	TABELLION	tabellion	1	LEMME	tabellïon	tabellon
tabellïon	TABELLION	tabellion	1	LEMME	tabellïon	tabellon
temprement	TEMPORELLEMENT	temporellement	1	SLEMME	temprement1	temporelment
tendement	TENDREMENT	tendrement	1	SLEMME	tendement	tendrement
terroier	TERROIR	terroir	1	LEMME	terroier	terroir
terçuel	TIERCEL	tiercel	1	LEMME	terçuel1	teruel1
terçuel	TIERUEL	tieruel1	1	LEMME	terçuel1	teruel2
tordoir	TORDEUR	tordeur	1	LEMME	tordoir	tordor
traversain	TRAVERSIN	traversin	1	LEMME	traversain	traversin
vairie	VAIR	vair	1	LEMME	vairie	vair1
verié	VOUERIE	vouerie1	1	LEMME	verié	verie1
verié	VOUERIE	vouerie2	1	LEMME	verié	verie2
